UniProt.ID;Gene;Protein.Name;Panel;Tissue.Specificity;Tissue_Initials;Tissue_Initials2
152;O14763;TNFRSF10B;Tumor necrosis factor receptor superfamily member 10B;Olink Explore Neurology- Olink Target 96 Cardiovascular II;Low tissue specificity;LTS
153;O14773;TPP1;Tripeptidyl-peptidase 1;Olink Explore Inflammation- Olink Target 96 Development;Low tissue specificity;LTS
154;O14786;NRP1;Neuropilin-1;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Low tissue specificity;LTS
155;O14788;TNFSF11;Tumor necrosis factor ligand superfamily member 11;Olink Explore Inflammation- Olink Target 96 Inflammation;Tissue enhanced: breast- liver- lymphoid tissue;TEBLLT
156;O14793;MSTN;Growth/differentiation factor 8;Olink Explore Cardiometabolic- Olink Target 96 Neurology;Tissue enhanced: skeletal muscle- tongue;TESMT
157;O14798;TNFRSF10C;Tumor necrosis factor receptor superfamily member 10C;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
158;O14828;SCAMP3;Secretory carrier-associated membrane protein 3;Olink Explore Oncology- Olink Target 96 Oncology II;Low tissue specificity;LTS
159;O14836;TNFRSF13B;Tumor necrosis factor receptor superfamily member 13B;Olink Explore Inflammation- Olink Target 96 Cardiovascular II;Group enriched: intestine- lymphoid tissue- skeletal muscle;GEILTSM
160;O14867;BACH1;Transcription regulator protein BACH1;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enhanced: bone marrow;TEBM
161;O14904;WNT9A;Protein Wnt-9a;Olink Explore Inflammation- Olink Target 96 Cell Regulation;Tissue enhanced: skeletal muscle;TESM
162;O14917;PCDH17;Protocadherin-17;Olink Explore Cardiometabolic- Olink Target 96 Cell Regulation;Tissue enhanced: brain- lung- lymphoid tissue;TEBLLT
163;O14944;EREG;Proepiregulin;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Tissue enriched: bone marrow;TEBM
164;O15031;PLXNB2;Plexin-B2;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Low tissue specificity;LTS
165;O15169;AXIN1;Axin-1;Olink Explore Inflammation- Olink Target 96 Inflammation;Low tissue specificity;LTS
166;O15197;EPHB6;Ephrin type-B receptor 6;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enhanced: brain- skin 1;TEBS1
167;O15232;MATN3;Matrilin-3;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enhanced: lung- placenta;TELP
168;O15263;DEFB4A- DEFB4B;Defensin beta 4A;Olink Explore Oncology- Olink Target 96 Neuro Exploratory;Tissue enriched: esophagus- Group enriched: esophagus- lymphoid tissue;TEEGEELT
169;O15357;INPPL1;Phosphatidylinositol 3-4-5-trisphosphate 5-phosphatase 2;Olink Explore Oncology- Olink Target 96 Organ Damage;Low tissue specificity;LTS
170;O15444;CCL25;C-C motif chemokine 25;Olink Explore Inflammation- Olink Target 96 Inflammation;Group enriched: intestine- lymphoid tissue;GEILT
171;O15455;TLR3;Toll-like receptor 3;Olink Explore Inflammation- Olink Target 96 Oncology II;Low tissue specificity;LTS
172;O15467;CCL16;C-C motif chemokine 16;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enriched: liver;TEL
173;O15496;PLA2G10;Group 10 secretory phospholipase A2;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Group enriched: intestine- pancreas- stomach 1;GEIPS1
174;O43155;FLRT2;Leucine-rich repeat transmembrane protein FLRT2;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enhanced: ovary- pancreas;TEOP
175;O43240;KLK10;Kallikrein-10;Olink Explore Oncology- Olink Target 96 Metabolism;Group enriched: esophagus- vagina;GEEV
176;O43278;SPINT1;Kunitz-type protease inhibitor 1;Olink Explore Neurology- Olink Target 96 Development;Tissue enhanced: esophagus;TEE
177;O43291;SPINT2;Kunitz-type protease inhibitor 2;Olink Explore Inflammation- Olink Target 96 Development;Low tissue specificity;LTS
178;O43464;HTRA2;Serine protease HTRA2- mitochondrial;Olink Explore Oncology- Olink Target 96 Development;Low tissue specificity;LTS
179;O43505;B4GAT1;Beta-1-4-glucuronyltransferase 1;Olink Explore Neurology- Olink Target 96 Development;Tissue enhanced: brain;TEB
180;O43521;BCL2L11;Bcl-2-like protein 11;Olink Explore Inflammation- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
181;O43524;FOXO3;Forkhead box protein O3;Olink Explore Oncology- Olink Target 96 Oncology III;Low tissue specificity;LTS
182;O43561;LAT;Linker for activation of T-cells family member 1;Olink Explore Inflammation- Olink Target 96 Neurology;Tissue enriched: lymphoid tissue;TELT
183;O43570;CA12;Carbonic anhydrase 12;Olink Explore Oncology- Olink Target 96 Organ Damage;Tissue enhanced: kidney- skin 1;TEKS1
184;O43597;SPRY2;Protein sprouty homolog 2;Olink Explore Inflammation- Olink Target 96 Immune Response;Low tissue specificity;LTS
185;O43699;SIGLEC6;Sialic acid-binding Ig-like lectin 6;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enriched: placenta;TEP
186;O43707;ACTN4;Alpha-actinin-4;Olink Explore Inflammation- Olink Target 96 Oncology III;Low tissue specificity;LTS
187;O43736;ITM2A;Integral membrane protein 2A;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enhanced: lymphoid tissue;TELT
188;O43752;STX6;Syntaxin-6;Olink Explore Oncology- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
189;O43827;ANGPTL7;Angiopoietin-related protein 7;Olink Explore Oncology- Olink Target 96 Metabolism;Low tissue specificity;LTS
190;O43854;EDIL3;EGF-like repeat and discoidin I-like domain-containing protein 3;Olink Explore Cardiometabolic- Olink Target 96 Organ Damage;Tissue enriched: brain;TEB
191;O43895;XPNPEP2;Xaa-Pro aminopeptidase 2;Olink Explore Oncology- Olink Target 96 Oncology II;Group enriched: intestine- kidney;GEIK
192;O60240;PLIN1;Perilipin-1;Olink Explore Neurology- Olink Target 96 Organ Damage;Group enriched: adipose tissue- breast;GEATB
193;O60242;ADGRB3;Adhesion G protein-coupled receptor B3;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Group enriched: brain- pituitary gland;GEBPG
194;O60243;HS6ST1;Heparan-sulfate 6-O-sulfotransferase 1;Olink Explore Oncology- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
195;O60259;KLK8;Kallikrein-8;Olink Explore Oncology- Olink Target 96 Oncology II;Group enriched: esophagus- skin 1- vagina;GEES1V
196;O60449;LY75;Lymphocyte antigen 75;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enriched: lymphoid tissue;TELT
197;O60462;NRP2;Neuropilin-2;Olink Explore Neurology- Olink Target 96 Neurology;Low tissue specificity;LTS
198;O60542;PSPN;Persephin;Olink Explore Inflammation- Olink Target 96 Oncology III;Tissue enhanced: brain;TEB
199;O60575;SPINK4;Serine protease inhibitor Kazal-type 4;Olink Explore Inflammation- Olink Target 96 Oncology III;Tissue enriched: intestine;TEI
200;O60609;GFRA3;GDNF family receptor alpha-3;Olink Explore Neurology- Olink Target 96 Neurology;Low tissue specificity;LTS
201;O60760;HPGDS;Hematopoietic prostaglandin D synthase;Olink Explore Oncology- Olink Target 96 Organ Damage;Tissue enhanced: placenta;TEP
202;O60763;USO1;General vesicular transport factor p115;Olink Explore Oncology- Olink Target 96 Oncology III;Tissue enhanced: skeletal muscle;TESM
203;O60880;SH2D1A;SH2 domain-containing protein 1A;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enriched: lymphoid tissue;TELT
204;O60907;TBL1X;F-box-like/WD repeat-containing protein TBL1X;Olink Explore Oncology- Olink Target 96 Oncology III;Low tissue specificity;LTS
205;O60911;CTSV;Cathepsin L2;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enriched: lymphoid tissue;TELT
206;O60934;NBN;Nibrin;Olink Explore Inflammation- Olink Target 96 Organ Damage;Low tissue specificity;LTS
207;O75015;FCGR3B;Low affinity immunoglobulin gamma Fc region receptor III-B;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
208;O75023;LILRB5;Leukocyte immunoglobulin-like receptor subfamily B member 5;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: adipose tissue- lymphoid tissue;TEATLT
209;O75054;IGSF3;Immunoglobulin superfamily member 3;Olink Explore Oncology- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
210;O75077;ADAM23;Disintegrin and metalloproteinase domain-containing protein 23;Olink Explore Inflammation- Olink Target 96 Neurology;Tissue enhanced: brain- parathyroid gland;TEBPG
211;O75326;SEMA7A;Semaphorin-7A;Olink Explore Cardiometabolic- Olink Target 96 Development;Tissue enhanced: lymphoid tissue- retina;TELTR
212;O75356;ENTPD5;Nucleoside diphosphate phosphatase ENTPD5;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enhanced: intestine- kidney- liver;TEIKL
213;O75475;PSIP1;PC4 and SFRS1-interacting protein;Olink Explore Inflammation- Olink Target 96 Immune Response;Low tissue specificity;LTS
214;O75569;PRKRA;Interferon-inducible double-stranded RNA-dependent protein kinase activator A;Olink Explore Oncology- Olink Target 96 Organ Damage;Low tissue specificity;LTS
215;O75594;PGLYRP1;Peptidoglycan recognition protein 1;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enriched: bone marrow;TEBM
216;O75695;RP2;Protein XRP2;Olink Explore Oncology- Olink Target 96 Oncology III;Tissue enhanced: bone marrow;TEBM
217;O75787;ATP6AP2;Renin receptor;Olink Explore Oncology- Olink Target 96 Organ Damage;Tissue enriched: parathyroid gland;TEPG
218;O75791;GRAP2;GRB2-related adapter protein 2;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enriched: lymphoid tissue;TELT
219;O75888;TNFSF13;Tumor necrosis factor ligand superfamily member 13;Olink Explore Inflammation- Olink Target 96 Oncology II;Tissue enhanced: salivary gland;TESG
220;O76038;SCGN;Secretagogin;Olink Explore Inflammation- Olink Target 96 Oncology III;Group enriched: brain- intestine- pancreas- pituitary gland- stomach 1;GEBIPPGS1
221;O76070;SNCG;Gamma-synuclein;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Tissue enhanced: adrenal gland- brain;TEAGB
222;O94760;DDAH1;N(G)-N(G)-dimethylarginine dimethylaminohydrolase 1;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enhanced: brain- kidney;TEBK
223;O94779;CNTN5;Contactin-5;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enhanced: brain- placenta- salivary gland- thyroid gland;TEBPSGTG
224;O94907;DKK 1,00;Dickkopf-related protein 1;Olink Explore Neurology- Olink Target 96 Cardiovascular II;Tissue enhanced: cervix- placenta- urinary bladder;TECPUB
225;O94985;CLSTN1;Calsyntenin-1;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Low tissue specificity;LTS
226;O94992;HEXIM1;Protein HEXIM1;Olink Explore Inflammation- Olink Target 96 Immune Response;Low tissue specificity;LTS
227;O95183;VAMP5;Vesicle-associated membrane protein 5;Olink Explore Cardiometabolic- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
228;O95274;LYPD3;Ly6/PLAUR domain-containing protein 3;Olink Explore Oncology- Olink Target 96 Oncology II;Group enriched: esophagus- skin 1- vagina;GEES1V
229;O95379;TNFAIP8;Tumor necrosis factor alpha-induced protein 8;Olink Explore Inflammation- Olink Target 96 Oncology III;Tissue enhanced: lymphoid tissue;TELT
230;O95388;CCN4;CCN family member 4;Olink Explore Oncology- Olink Target 96 Oncology II;Low tissue specificity;LTS
231;O95407;TNFRSF6B;Tumor necrosis factor receptor superfamily member 6B;Olink Explore Neurology- Olink Target 96 Oncology II;Tissue enhanced: lung;TEL
232;O95445;APOM;Apolipoprotein M;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enriched: liver;TEL
233;O95502;NPTXR;Neuronal pentraxin receptor;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enriched: brain;TEB
234;O95544;NADK;NAD kinase;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Low tissue specificity;LTS
235;O95630;STAMBP;STAM-binding protein;Olink Explore Neurology- Olink Target 96 Inflammation;Low tissue specificity;LTS
236;O95633;FSTL3;Follistatin-related protein 3;Olink Explore Inflammation- Olink Target 96 Development;Low tissue specificity;LTS
237;O95644;NFATC1;Nuclear factor of activated T-cells- cytoplasmic 1;Olink Explore Inflammation- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
238;O95715;CXCL14;C-X-C motif chemokine 14;Olink Explore Inflammation- Olink Target 96 Oncology III;Tissue enhanced: skin 1;TES1
239;O95721;SNAP29;Synaptosomal-associated protein 29;Olink Explore Oncology- Olink Target 96 Development;Low tissue specificity;LTS
240;O95750;FGF19;Fibroblast growth factor 19;Olink Explore Inflammation- Olink Target 96 Inflammation;Tissue enriched: gallbladder;TEG
241;O95786;DDX58;Antiviral innate immune response receptor RIG-I;Olink Explore Oncology- Olink Target 96 Immune Response;Low tissue specificity;LTS
242;O95831;AIFM1;Apoptosis-inducing factor 1- mitochondrial;Olink Explore Oncology- Olink Target 96 Organ Damage;Low tissue specificity;LTS
243;O95841;ANGPTL1;Angiopoietin-related protein 1;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enhanced: placenta;TEP
244;O95971;CD160;CD160 antigen;Olink Explore Inflammation- Olink Target 96 Oncology II;Tissue enhanced: lymphoid tissue;TELT
245;O95988;TCL1B;T-cell leukemia/lymphoma protein 1B;Olink Explore Cardiometabolic- Olink Target 96 Cell Regulation;Tissue enhanced: bone marrow- lymphoid tissue- testis;TEBMLTT
246;O95994;AGR2;Anterior gradient protein 2 homolog;Olink Explore Neurology- Olink Target 96 Organ Damage;Tissue enhanced: cervix- intestine- stomach 1;TECIS1
247;O95998;IL18BP;Interleukin-18-binding protein;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: lymphoid tissue;TELT
248;O96013;PAK4;Serine/threonine-protein kinase PAK 4;Olink Explore Neurology- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
249;P00352;ALDH1A1;Aldehyde dehydrogenase 1A1;Olink Explore Neurology- Olink Target 96 Metabolism;Tissue enhanced: liver;TEL
250;P00441;SOD1;Superoxide dismutase [Cu-Zn];Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: liver;TEL
251;P00519;ABL1;Tyrosine-protein kinase ABL1;Olink Explore Oncology- Olink Target 96 Oncology II;Low tissue specificity;LTS
252;P00533;EGFR;Epidermal growth factor receptor;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: placenta;TEP
253;P00750;PLAT;Tissue-type plasminogen activator;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: parathyroid gland- urinary bladder;TEPGUB
254;P00797;REN;Renin;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular II;Tissue enriched: kidney;TEK
255;P00915;CA1;Carbonic anhydrase 1;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Group enriched: bone marrow- intestine;GEBMI
256;P00918;CA2;Carbonic anhydrase 2;Olink Explore Neurology- Olink Target 96 Development;Tissue enhanced: intestine- stomach 1;TEIS1
257;P00995;SPINK1;Serine protease inhibitor Kazal-type 1;Olink Explore Neurology- Olink Target 96 Development;Tissue enriched: pancreas;TEP
258;P01033;TIMP1;Metalloproteinase inhibitor 1;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: urinary bladder;TEUB
259;P01034;CST3;Cystatin-C;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: brain;TEB
260;P01130;LDLR;Low-density lipoprotein receptor;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: adrenal gland;TEAG
261;P01215;CGA;Glycoprotein hormones alpha chain;Olink Explore Neurology- Olink Target 96 Development;Tissue enriched: pituitary gland;TEPG
262;P01222;TSHB;Thyrotropin subunit beta;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enriched: pituitary gland;TEPG
263;P01229;LHB;Lutropin subunit beta;Olink Explore Oncology- Olink Target 96 Organ Damage;Tissue enriched: pituitary gland;TEPG
264;P01241;GH1;Somatotropin;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular II;Tissue enriched: pituitary gland;TEPG
265;P01242;GH2;Growth hormone variant;Olink Explore Oncology- Olink Target 96 Cell Regulation;Group enriched: pituitary gland- placenta;GEPGP
266;P01258;CALCA;Calcitonin;Olink Explore Neurology- Olink Target 96 Organ Damage;Group enriched: parathyroid gland- thyroid gland;GEPGTG
267;P01275;GCG;Pro-glucagon;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enriched: pancreas;TEP
268;P01298;PPY;Pancreatic prohormone;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enriched: pancreas;TEP
269;P01303;NPY;Pro-neuropeptide Y;Olink Explore Oncology- Olink Target 96 Oncology III;Group enriched: adrenal gland- brain- prostate;GEAGBP
270;P01588;EPO;Erythropoietin;Olink Explore Inflammation- Olink Target 96 Organ Damage;Tissue enriched: liver;TEL
271;P01589;IL2RA;Interleukin-2 receptor subunit alpha;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: adipose tissue- lymphoid tissue- urinary bladder;TEATLTUB
272;P01591;JCHAIN;Immunoglobulin J chain;Olink Explore Inflammation- Olink Target 96 Oncology III;Tissue enhanced: breast- intestine- stomach 1;TEBIS1
273;P01833;PIGR;Polymeric immunoglobulin receptor;Olink Explore Neurology- Olink Target 96 Cardiovascular II;Tissue enhanced: intestine- salivary gland;TEISG
274;P02144;MB;Myoglobin;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Group enriched: heart muscle- skeletal muscle- tongue;GEHMSMT
275;P02452;COL1A1;Collagen alpha-1(I) chain;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: cervix- gallbladder;TECG
276;P02462;COL4A1;Collagen alpha-1(IV) chain;Olink Explore Cardiometabolic- Olink Target 96 Cell Regulation;Tissue enhanced: placenta;TEP
277;P02745;C1QA;Complement C1q subcomponent subunit A;Olink Explore Inflammation- Olink Target 96 Oncology III;Tissue enhanced: lymphoid tissue;TELT
278;P02760;AMBP;Protein AMBP;Olink Explore Oncology- Olink Target 96 Cardiovascular II;Tissue enriched: liver;TEL
279;P02771;AFP;Alpha-fetoprotein;Olink Explore Neurology- Olink Target 96 Oncology III;Tissue enriched: liver;TEL
280;P02786;TFRC;Transferrin receptor protein 1;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: bone marrow;TEBM
